,Unnamed: 0,Rkr,Player,Age,Pos,Date,Tmr,Unnamed: 8,Opp,Unnamed: 10,PTS,GSr,MPr,FG,FGA,FG%,2Pr,2PA,2P%,3Pr,3PA,3P%,FTr,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PFr,GmSc,BPM
310,310,199,John Collins,23-273,F,2021-06-23*,ATL,@,MIL,W,23,1,37,11,16,.688,10,11,.909,1,5,.200,0,0,,5,10,15,1,0,0,2,3,20.2,5.4
311,311,200,Paul George,31-055,F,2021-06-26*,LAC,,PHO,L,23,1,42,5,20,.250,4,11,.364,1,9,.111,12,18,.667,0,16,16,6,1,0,2,6,14.2,6.8
312,312,201,Paul George,31-020,F,2021-05-22*,LAC,,DAL,L,23,1,40,8,18,.444,6,10,.600,2,8,.250,5,5,1.000,3,3,6,5,1,0,3,4,16.5,0.0
313,313,202,Paul George,31-031,F,2021-06-02*,LAC,,DAL,L,23,1,39,7,15,.467,4,8,.500,3,7,.429,6,6,1.000,0,10,10,6,0,3,4,4,19.0,6.6
314,314,203,Rudy Gobert,28-341,C,2021-06-02*,UTA,,MEM,W,23,1,33,10,13,.769,10,13,.769,0,0,,3,4,.750,7,8,15,2,0,3,1,3,26.1,9.1
315,315,204,Tim Hardaway,29-080,G,2021-06-04*,DAL,,LAC,L,23,1,38,9,19,.474,5,8,.625,4,11,.364,1,1,1.000,1,0,1,0,0,0,0,4,12.4,0.9
316,316,205,James Harden,31-277,G,2021-05-30*,BRK,@,BOS,W,23,1,40,8,12,.667,6,7,.857,2,5,.400,5,6,.833,1,4,5,18,2,2,6,3,28.1,12.4
317,317,206,Reggie Jackson,31-073,G,2021-06-28*,LAC,@,PHO,W,23,1,38,8,14,.571,4,7,.571,4,7,.571,3,4,.750,0,5,5,3,0,1,1,3,18.1,5.3
318,318,207,Reggie Jackson,31-069,G,2021-06-24*,LAC,,PHO,W,23,1,33,9,17,.529,6,9,.667,3,8,.375,2,4,.500,0,1,1,3,2,0,1,3,16.1,6.4
319,319,208,LeBron James,36-146,F-G,2021-05-25*,LAL,@,PHO,W,23,1,39,9,16,.563,5,7,.714,4,9,.444,1,1,1.000,0,4,4,9,2,0,1,3,22.7,12.5
320,320,209,Kawhi Leonard,29-344,F,2021-06-08*,LAC,@,UTA,L,23,1,36,9,19,.474,8,15,.533,1,4,.250,4,4,1.000,3,4,7,3,1,0,0,4,18.1,4.2
321,321,210,Khris Middleton,29-311,F-G,2021-06-19*,MIL,@,BRK,W,23,1,52,9,26,.346,7,19,.368,2,7,.286,3,3,1.000,4,6,10,6,5,0,3,2,18.4,1.7
